video_num,start_frame,end_frame,difficulty,final_score
1,7377,7462,3.2,88
1,7838,7969,3.2,88
1,8649,8738,3.2,86.4
1,9136,9268,3.2,86.4
1,10036,10124,3.2,75.2
1,10526,10742,3.2,75.2
1,11444,11540,3.2,72
1,11954,12084,3.2,72
1,12860,12969,3.2,72
1,13362,13546,3.2,72
1,14062,14224,3,73.5
1,14648,14792,3,73.5
1,15355,15528,3,66
1,15696,15889,3,66
1,16985,17113,3.6,77.4
1,17569,17750,3.6,77.4
1,18193,18346,3,61.5
1,18788,18954,3,61.5
1,19696,19807,3.2,81.6
1,20193,20317,3.2,81.6
1,20799,20944,3,72
1,21331,21439,3,72
1,22525,22656,3.2,67.2
1,23025,23137,3.2,67.2
1,24120,24227,3.3,89.1
1,24610,24784,3.3,89.1
1,25360,25512,3,73.5
1,25963,26137,3,73.5
1,26449,26589,3,76.5
1,27063,27330,3,76.5
1,27882,27962,3.2,81.6
1,28948,29076,2.9,72.5
1,29524,29655,2.9,72.5
1,30395,30504,3.2,76.8
1,30905,31048,3.2,76.8
1,31736,31843,3.6,59.4
1,32424,32541,3.6,59.4
1,33341,33452,3.2,81.6
1,33862,33963,3.2,81.6
1,34815,34963,3.7,81.4
1,35404,35540,3.7,81.4
1,36413,36493,3.2,76.8
1,37673,37768,3,58.5
1,38182,38340,3,58.5
1,38916,39029,3.2,78.4
1,39236,39456,3.2,78.4
1,40506,40631,3.6,81
1,41146,41224,3.6,81
1,41926,42029,3.2,86.4
1,42405,42546,3.2,86.4
1,43276,43360,3.2,81.6
1,43716,43870,3.2,81.6
1,44388,44540,3,72
1,45977,46087,3.6,73.8
1,46490,46688,3.6,73.8
1,47452,47556,3.2,51.2
1,47956,48060,3.2,51.2
1,48475,48625,3,76.5
1,50040,50130,3.3,66
1,50590,50809,3.3,66
1,53431,53528,3.4,91.8
1,53897,54073,3.4,91.8
1,54522,54648,3.3,74.25
1,55201,55351,3.3,74.25
1,55645,55745,3,67.5
1,55920,56134,3,67.5
1,56885,56993,3.6,88.2
1,57453,57578,3.6,88.2
1,58385,58493,3.3,39.6
1,58943,59058,3.3,39.6
1,59756,59844,3.2,72
1,60254,60370,3.2,72
1,61304,61422,3.3,79.2
1,62025,62145,3.3,79.2
1,62747,62853,3.2,72
1,63219,63337,3.2,72
1,64175,64292,3.2,86.4
1,64705,64825,3.2,86.4
1,65424,65572,3.7,83.25
1,66015,66173,3.7,83.25
1,66843,66952,3.2,67.2
1,67323,67522,3.2,67.2
1,68198,68378,3.7,86.95
1,68830,68956,3.7,86.95
1,69569,69722,3.8,81.7
1,70286,70449,3.8,81.7
1,71241,71346,3.6,79.2
1,71758,71887,3.6,79.2
1,72565,72667,3.3,74.25
1,73235,73403,3.3,74.25
1,73546,73659,3,72
1,73880,74092,3,72
1,74602,74756,3,76.5
1,76158,76250,3.2,76.8
1,76637,76768,3.2,76.8
1,77606,77711,3.2,62.4
1,78131,78286,3.2,62.4
1,78715,78883,3.7,68.45
1,79326,79476,3.7,68.45
1,80321,80420,3.3,85.8
1,80827,80980,3.3,85.8
1,82136,82253,3.2,81.6
1,82636,82773,3.2,81.6
1,83427,83545,3.6,21.6
1,84855,84940,3.5,71.75
1,85325,85458,3.5,71.75
1,86297,86381,3.2,73.6
1,86808,86930,3.2,73.6
1,87617,87715,3.5,99.75
1,88000,88407,3.5,99.75
1,89003,89142,3.7,88.8
1,90440,90565,3.2,76.8
1,90928,91041,3.2,76.8
1,91856,91956,3.2,78.4
1,92375,92490,3.2,78.4
1,93370,93493,3.3,70.95
1,93855,93981,3.3,70.95
1,94812,94927,3.2,59.2
1,95423,95562,3.2,59.2
1,96180,96259,3.2,40
1,98885,98984,3,66
1,99373,99519,3,66
1,100000,100109,3.6,100.8
1,100548,100952,3.6,100.8
1,101525,101647,3.3,75.9
1,102016,102159,3.3,75.9
1,102634,102752,3.7,83.25
1,103154,103288,3.7,83.25
1,103771,103921,3,52.5
1,105481,105603,3.3,18.15
1,107603,107710,3.2,76.8
1,108232,108362,3.2,76.8
1,108915,109023,3.3,87.45
1,109576,109717,3.3,87.45
1,110494,110598,3.6,64.8
1,111161,111374,3.6,64.8
1,112214,112356,3.6,57.6
1,112904,113061,3.6,57.6
1,113682,113799,3.3,52.8
1,114240,114400,3.3,52.8
1,115332,115441,3.3,82.5
1,115914,116228,3.3,82.5
